"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"SYLAL4","","Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum","Vivace","","","","","","","",""
"SYLAL5","","Symphyotrichum lanceolatum ssp. lanceolatum var. latifolium","Vivace","","","","","","","",""
"SYLA4","","Symphyotrichum lateriflorum","Vivace","","","","","","","",""
"SYLAH5","","Symphyotrichum lateriflorum var. horizontale","Vivace","","","","","","","",""
"SYLAL7","","Symphyotrichum lateriflorum var. lateriflorum","Vivace","Printemps, été, automne","Vert","5.2","7.2","26","60","Intolérant","-38"
"SYLO2","","Symphyotrichum lowrieanum","Vivace","","","","","","","",""
"SYNO2","","Symphyotrichum novae-angliae","Vivace","","","","","","","",""
"SYNO3","","Symphyotrichum novi-belgii","Vivace","","","","","","","",""
"SYNOE","","Symphyotrichum novi-belgii var. elodes","Vivace","","","","","","","",""
"SYNON","","Symphyotrichum novi-belgii var. novi-belgii","Vivace","Printemps, été, automne","Vert","5.5","7.0","40","60","Intolérant","-33"
"SYOB","","Symphyotrichum oblongifolium","Vivace","","","","","","","",""
"SYPA11","","Symphyotrichum patens","Vivace","","","","","","","",""
"SYPAG","","Symphyotrichum patens var. gracile","Vivace","","","","","","","",""
"SYPAP2","","Symphyotrichum patens var. patens","Vivace","Printemps, été, automne","Vert foncé","4.9","6.9","30","55","Tolérant","-38"
"SYPH3","","Symphyotrichum phlogifolium","Vivace","","","","","","","",""
"SYPI2","","Symphyotrichum pilosum","Vivace","","","","","","","",""
"SYPIP3","","Symphyotrichum pilosum var. pilosum","Vivace","Printemps, été, automne","Vert","5.4","7.0","28","50","Tolérant","-33"
"SYPIP2","","Symphyotrichum pilosum var. pringlei","Vivace","","","","","","","",""
"SYPR5","","Symphyotrichum praealtum","Vivace","","","","","","","",""
"SYPRA","","Symphyotrichum praealtum var. angustior","Vivace","","","","","","","",""
"SYPR6","","Symphyotrichum prenanthoides","Vivace","Printemps, été, automne","Vert","5.5","7.2","30","50","Intolérant","-38"
"SYPU","","Symphyotrichum puniceum","Vivace","","","","","","","",""
"SYPUP","","Symphyotrichum puniceum var. puniceum","Vivace","Printemps, été, automne","Vert","4.5","7.5","17","25","Intolérant","-35"
"SYRA5","","Symphyotrichum racemosum","Vivace","","","","","","","",""
"SYSH","","Symphyotrichum shortii","Vivace","","","","","","","",""
"SYSU5","","Symphyotrichum subulatum","Annuelle, Biennale","Printemps, été, automne","Vert","5.6","7.0","16","50","Intolérant","-3"
"SYTE6","","Symphyotrichum tenuifolium","Vivace","","","","","","","",""
"SYUN","","Symphyotrichum undulatum","Vivace","","","","","","","",""
"SYUR","","Symphyotrichum urophyllum","Vivace","","","","","","","",""
"SYMPH2","","Symphytum","","","","","","","","",""
"SYAS","","Symphytum asperum","Vivace","","","","","","","",""
"SYOF","","Symphytum officinale","Vivace","","","","","","","",""
"SYMPL","","Symplocarpus","","","","","","","","",""
"SYFO","","Symplocarpus foetidus","Vivace","Printemps","Vert","4.0","7.0","40","60","Tolérant","-33"
"SYMPL2","","Symplocos","","","","","","","","",""
"SYTI","","Symplocos tinctoria","Vivace","Printemps et été","Jaune-vert","4.5","6.5","40","100","Tolérant","-22"
"SYRIN","","Syringa","","","","","","","","",""
"SYPE","","Syringa ×persica","Vivace","","","","","","","",""
"SYVU","","Syringa vulgaris","Vivace","Printemps et été","Vert","5.8","7.8","30","50","Intermédiaire","-38"
"TAENI","","Taenidia","","","","","","","","",""
"TAIN","","Taenidia integerrima","Vivace","","","","","","","",""
"TAMO","","Taenidia montana","Vivace","","","","","","","",""
"TAGET","","Tagetes","","","","","","","","",""
"TAER","","Tagetes erecta","Annuelle","","","","","","","",""
"TAMI3","","Tagetes minuta","Annuelle","","","","","","","",""
"TAPU5","","Tagetes pusilla","Annuelle","","","","","","","",""
"TANAC","","Tanacetum","","","","","","","","",""
"TABA","","Tanacetum balsamita","Vivace","","","","","","","",""
"TAPA6","","Tanacetum parthenium","Vivace","","","","","","","",""
"TAVU","","Tanacetum vulgare","Vivace","","","","","","","",""
"TARAX","","Taraxacum","","","","","","","","",""
"TALA2","","Taraxacum laevigatum","Vivace","","","","","","","",""
"TAOF","","Taraxacum officinale","Vivace","Printemps et automne","Vert","4.8","7.5","12","55","Intermédiaire","-38"
"TAOFO","","Taraxacum officinale ssp. officinale","Vivace","","","","","","","",""
"TAXOD","","Taxodium","","","","","","","","",""
"TADI2","","Taxodium distichum","Vivace","Printemps et été","Vert","4.5","6.0","40","65","Intermédiaire","-18"
"TAXUS","","Taxus","","","","","","","","",""
"TACA7","","Taxus canadensis","Vivace","Printemps et été","Vert","5.3","7.5","12","50","Tolérant","-28"
"TEESD","","Teesdalia","","","","","","","","",""
"TENU","","Teesdalia nudicaulis","Annuelle","","","","","","","",""
"TEPHR","","Tephrosia","","","","","","","","",""
"TEPU","","Tephrosia purpurea","Vivace","","","","","","","",""
"TESP","","Tephrosia spicata","Vivace","","","","","","","",""
"TEVI","","Tephrosia virginiana","Vivace","","","","","","","",""
"TEUCR","","Teucrium","","","","","","","","",""
"TECA3","","Teucrium canadense","Vivace","Printemps et été","Blanc-gris","4.5","8.0","20","60","Intermédiaire","-43"
"TECAC","","Teucrium canadense var. canadense","Vivace","","","","","","","",""
"TELA","","Teucrium laciniatum","Vivace","","","","","","","",""
"THALI2","","Thalictrum","","","","","","","","",""
"THCO2","","Thalictrum coriaceum","Vivace","","","","","","","",""
"THDI","","Thalictrum dioicum","Vivace","","","","","","","",""
"THMA4","","Thalictrum macrostylum","Vivace","","","","","","","",""
"THPU2","","Thalictrum pubescens","Vivace","","","","","","","",""
"THRE","","Thalictrum revolutum","Vivace","","","","","","","",""
"THTH2","","Thalictrum thalictroides","Vivace","","","","","","","",""
"THASP","","Thaspium","","","","","","","","",""
"THBA","","Thaspium barbinode","Vivace","","","","","","","",""
"THTR","","Thaspium trifoliatum","Vivace","","","","","","","",""
"THTRA","","Thaspium trifoliatum var. aureum","Vivace","","","","","","","",""
"THELY2","","Thelypteris","","","","","","","","",""
"THNO","","Thelypteris noveboracensis","Vivace","Printemps","Jaune-vert","4.0","7.0","30","60","Tolérant","-28"
"THPA","","Thelypteris palustris","Vivace","","","","","","","",""
"THPAP","","Thelypteris palustris var. pubescens","Vivace","","","","","","","",""
"THSI2","","Thelypteris simulata","Vivace","","","","","","","",""
"THEME","","Themeda","","","","","","","","",""
"THAR2","","Themeda arguens","Annuelle, Vivace","","","","","","","",""
"THERM","","Thermopsis","","","","","","","","",""
"THVI","","Thermopsis villosa","Vivace","","","","","","","",""
"THLAS","","Thlaspi","","","","","","","","",""
"THAL2","","Thlaspi alliaceum","Annuelle","","","","","","","",""
"THAR5","","Thlaspi arvense","Annuelle","","","","","","","",""
"THUJA","","Thuja","","","","","","","","",""
"THOC2","","Thuja occidentalis","Vivace","Printemps et été","Vert","5.2","7.0","35","55","Intermédiaire","-33"
"THYMU","","Thymus","","","","","","","","",""
"THPR","","Thymus praecox","Vivace","","","","","","","",""
"THPRA","","Thymus praecox ssp. arcticus","Vivace","","","","","","","",""
"THPU5","","Thymus pulegioides","Vivace","","","","","","","",""
"TIARE","","Tiarella","","","","","","","","",""
"TICO","","Tiarella cordifolia","Vivace","","","","","","","",""
"TICOC","","Tiarella cordifolia var. collina","Vivace","","","","","","","",""
"TICOC2","","Tiarella cordifolia var. cordifolia","Vivace","","","","","","","",""
"TILIA","","Tilia","","","","","","","","",""
"TIAM","","Tilia americana","Vivace","Printemps et été","Vert","4.5","7.5","21","80","Tolérant","-46"
"TIAMA","","Tilia americana var. americana","Vivace","","","","","","","",""
"TIAMH","","Tilia americana var. heterophylla","Vivace","Printemps et été","Vert","5.0","6.6","35","80","Tolérant","-21"
"TICO2","","Tilia cordata","Vivace","Printemps et été","Vert","4.8","7.2","30","60","Intermédiaire","-33"
"TILLA2","","Tillandsia","","","","","","","","",""
"TIUS","","Tillandsia usneoides","Vivace","Printemps et été","Blanc-gris","6.0","6.9","40","75","Tolérant","22"
"TIPUL","","Tipularia","","","","","","","","",""
"TIDI","","Tipularia discolor","Vivace","","","","","","","",""
"TOONA","","Toona","","","","","","","","",""
"TOCI","","Toona ciliata","Vivace","","","","","","","",""
"TOCIC","","Toona ciliata ssp. ciliata","Vivace","","","","","","","",""
"TOCIA","","Toona ciliata ssp. ciliata var. australis","Vivace","","","","","","","",""
"TORIL","","Torilis","","","","","","","","",""
"TOAR","","Torilis arvensis","Annuelle","","","","","","","",""
"TOARA","","Torilis arvensis ssp. arvensis","Annuelle","","","","","","","",""
"TOJA","","Torilis japonica","Annuelle","","","","","","","",""
"TONO","","Torilis nodosa","Annuelle","","","","","","","",""
"TORRE2","","Torreyochloa","","","","","","","","",""
"TOPA6","","Torreyochloa pallida","Vivace","","","","","","","",""
"TOPAP","","Torreyochloa pallida var. pallida","Vivace","","","","","","","",""
"TOXIC","","Toxicodendron","","","","","","","","",""
"TOPU2","","Toxicodendron pubescens","Vivace","","","","","","","",""
"TORA2","","Toxicodendron radicans","Vivace","","","","","","","",""
"TORAN","","Toxicodendron radicans ssp. negundo","Vivace","","","","","","","",""
"TORAR","","Toxicodendron radicans ssp. radicans","Vivace","","","","","","","",""
"TORY","","Toxicodendron rydbergii","Vivace","","","","","","","",""
"TOVE","","Toxicodendron vernix","Vivace","","","","","","","",""
"TRACH","","Trachelospermum","","","","","","","","",""
"TRDI","","Trachelospermum difforme","Vivace","","","","","","","",""
"TRADE","","Tradescantia","","","","","","","","",""
"TROH","","Tradescantia ohiensis","Vivace","","","","","","","",""
"TRVI","","Tradescantia virginiana","Vivace","Printemps","Vert","4.0","8.0","25","55","Intermédiaire","-38"
"TRAGO","","Tragopogon","","","","","","","","",""
"TRDU","","Tragopogon dubius","Annuelle, Biennale","Printemps et été","Vert","6.5","7.5","6","40","Intolérant","-28"
"TRLA30","","Tragopogon lamottei","Biennale","","","","","","","",""
"TRPO","","Tragopogon porrifolius","Biennale","Printemps et été","Vert","5.2","7.8","14","55","Intermédiaire","-28"
"TRAGU","","Tragus","","","","","","","","",""
"TRRA","","Tragus racemosus","Annuelle","","","","","","","",""
"TRAPA","","Trapa","","","","","","","","",""
"TRNA","","Trapa natans","Vivace","","","","","","","",""
"TRAUT","","Trautvetteria","","","","","","","","",""
"TRCA","","Trautvetteria caroliniensis","Vivace","","","","","","","",""
"TRCAC2","","Trautvetteria caroliniensis var. caroliniensis","Vivace","","","","","","","",""
"TRIAD","","Triadenum","","","","","","","","",""
"TRFR","","Triadenum fraseri","Vivace","","","","","","","",""
"TRTU","","Triadenum tubulosum","Vivace","","","","","","","",""
"TRVI2","","Triadenum virginicum","Vivace","","","","","","","",""
"TRWA","","Triadenum walteri","Vivace","","","","","","","",""
"TRIAN2","","Triantha","","","","","","","","",""
"TRGL5","","Triantha glutinosa","Vivace","","","","","","","",""
"TRRA6","","Triantha racemosa","Vivace","","","","","","","",""
"TRIAN","","Trianthema","","","","","","","","",""
"TRPO2","","Trianthema portulacastrum","Annuelle, Vivace","","","","","","","",""
"TRIBU","","Tribulus","","","","","","","","",""
"TRTE","","Tribulus terrestris","Annuelle","","","","","","","",""
"TRICH5","","Trichomanes","","","","","","","","",""
"TRIN13","","Trichomanes intricatum","Vivace","","","","","","","",""
"TRICH22","","Trichophorum","","","","","","","","",""
"TRPL6","","Trichophorum planifolium","Vivace","","","","","","","",""
"TRICH9","","Trichostema","","","","","","","","",""
"TRBR5","","Trichostema brachiatum","Annuelle","","","","","","","",""
"TRDI2","","Trichostema dichotomum","Annuelle","","","","","","","",""
"TRSE5","","Trichostema setaceum","Annuelle","","","","","","","",""
"TRIDE","","Tridens","","","","","","","","",""
"TRFL2","","Tridens flavus","Vivace","Été","Vert","4.5","6.5","17","60","Intolérant","-23"
"TRFLF","","Tridens flavus var. flavus","Vivace","","","","","","","",""
"TRIEN","","Trientalis","","","","","","","","",""
"TRBO2","","Trientalis borealis","Vivace","","","","","","","",""
"TRBOB","","Trientalis borealis ssp. borealis","Vivace","","","","","","","",""
"TRIFO","","Trifolium","","","","","","","","",""
"TRAR4","","Trifolium arvense","Annuelle","","","","","","","",""
"TRAU2","","Trifolium aureum","Annuelle, Biennale","","","","","","","",""
"TRCA5","","Trifolium campestre","Annuelle, Biennale","","","","","","","",""
"TRDU2","","Trifolium dubium","Annuelle","","","","","","","",""
"TRHY","","Trifolium hybridum","Annuelle, Vivace","Printemps et été","Vert","5.6","7.5","26","60","Intolérant","-38"
"TRIN3","","Trifolium incarnatum","Annuelle","Automne, Winter and Printemps","Vert","5.5","7.5","32","65","Intolérant","-7"
"TRME","","Trifolium medium","Vivace","","","","","","","",""
"TRPR2","","Trifolium pratense","Biennale, Vivace","Printemps et été","Vert","5.5","7.6","18","65","Intolérant","-34"
"TRRE2","","Trifolium reflexum","Annuelle, Biennale","","","","","","","",""
"TRRE3","","Trifolium repens","Vivace","Printemps, été, automne","Vert","5.2","8.0","24","70","Intolérant","-62"
"TRRE4","","Trifolium resupinatum","Annuelle","","","","","","","",""
"TRVI3","","Trifolium virginicum","Vivace","","","","","","","",""
"TRIGL","","Triglochin","","","","","","","","",""
"TRMA20","","Triglochin maritima","Vivace","","","","","","","",""
"TRST16","","Triglochin striata","Vivace","","","","","","","",""
"TRIGO","","Trigonella","","","","","","","","",""
"TRCA14","","Trigonella caerulea","Annuelle","","","","","","","",""
"TRFO80","","Trigonella foenum-graecum","Annuelle","","","","","","","",""
"TRILL","","Trillium","","","","","","","","",""
"TRCE","","Trillium cernuum","Vivace","","","","","","","",""
"TRCU","","Trillium cuneatum","Vivace","","","","","","","",""
"TRER3","","Trillium erectum","Vivace","","","","","","","",""
"TRFL6","","Trillium flexipes","Vivace","","","","","","","",""
"TRGR4","","Trillium grandiflorum","Vivace","","","","","","","",""
"TRLU3","","Trillium luteum","Vivace","","","","","","","",""
"TRNI2","","Trillium nivale","Vivace","","","","","","","",""
"TRPU3","","Trillium pusillum","Vivace","","","","","","","",""
"TRPUV","","Trillium pusillum var. virginianum","Vivace","","","","","","","",""
"TRSE2","","Trillium sessile","Vivace","","","","","","","",""
"TRUN","","Trillium undulatum","Vivace","","","","","","","",""
"TRIOD","","Triodanis","","","","","","","","",""
"TRPE4","","Triodanis perfoliata","Annuelle","","","","","","","",""
"TRIOS","","Triosteum","","","","","","","","",""
"TRAN3","","Triosteum angustifolium","Vivace","","","","","","","",""
"TRAU4","","Triosteum aurantiacum","Vivace","","","","","","","",""
"TRAUA","","Triosteum aurantiacum var. aurantiacum","Vivace","","","","","","","",""
"TRAUG","","Triosteum aurantiacum var. glaucescens","Vivace","","","","","","","",""
"TRPE5","","Triosteum perfoliatum","Vivace","","","","","","","",""
"TRIPH","","Triphora","","","","","","","","",""
"TRTR3","","Triphora trianthophora","Vivace","","","","","","","",""
"TRIPL2","","Triplasis","","","","","","","","",""
"TRPU4","","Triplasis purpurea","Annuelle","","","","","","","",""
"TRIPL4","","Tripleurospermum","","","","","","","","",""
"TRPE21","","Tripleurospermum perforatum","Annuelle","","","","","","","",""
"TRIPS","","Tripsacum","","","","","","","","",""
"TRDA3","","Tripsacum dactyloides","Vivace","Printemps et été","Vert","5.1","7.5","16","60","Intolérant","-23"
"TRITI","","Triticum","","","","","","","","",""
"TRAE","","Triticum aestivum","Annuelle","Automne, Winter and Printemps","Vert","5.5","8.0","10","100","Tolérant","-28"
"TSUGA","","Tsuga","","","","","","","","",""
"TSCA","","Tsuga canadensis","Vivace","Printemps et été","Vert foncé","4.2","5.7","32","55","Tolérant","-33"
